Final_score	Birds	Bonus_cards	End_of_round_goals	Eggs	Food_on_cards	Tucked_cards	Nectar	Win	Player	Place	Forest	Grass	Water	turn_order	Win_bool	allbirds	N_birds
92	52	13	13	6	0	1	7	0	Nino						FALSE		0
84	39	3	11	2	1	24	4	0	Lucius						FALSE		0
58	34	3	6	7	5	2	2	0	Fiora						FALSE		0
93	37	9	5	15	0	22	5	0	Lowen						FALSE		0
145	55	40	16	6	15	13	0	1	Sain						TRUE		0
93	43	14	3	8	13	0	12	0	Nino						FALSE		0
104	39	14	14	8	15	7	7	0	Florina						FALSE		0
104	59	14	12	2	11	2	4	0	Lucius						FALSE		0
114	68	5	20	3	0	13	5	0	Hawkeye						FALSE		0
144	56	23	23	9	0	28	5	0	Florina						FALSE		0
128	71	21	12	8	3	13	0	0	Nino						FALSE		0
130	64	27	15	1	6	12	5	0	Lowen						FALSE		0
150	71	29	13	11	8	11	7	1	Sain						TRUE		0
144	62	9	26	35	6	2	4	0	Lucius						FALSE		0
113	63	6	17	20	2	5	0	0	Sain						FALSE		0
97	55	3	8	4	6	21	0	0	Nino						FALSE		0
105	48	3	7	6	23	16	2	0	Lucius						FALSE		0
128	52	14	22	14	0	21	5	1	Hawkeye						TRUE		0
101	46	3	1	10	12	22	7	0	Florina						FALSE		0
117	57	6	17	16	5	11	5	0	Lowen						FALSE		0
107	36	7	7	5	18	24	10	0	Lucius						FALSE		0
121	58	4	12	12	8	21	6	0	Hawkeye						FALSE		0
143	56	8	22	30	8	9	10	1	Sain						TRUE		0
96	52	3	22	5	5	0	9	0	Nino						FALSE		0
95	36	9	10	11	0	22	7	0	Lowen						FALSE		0
122	59	6	9	13	10	16	9	1	Sain						TRUE		0
113	50	8	2	18	6	13	12	0	Nino						FALSE		0
140	64	18	12	0	20	6	9	1	Sain						TRUE		0
130	52	11	18	7	15	17	10	0	Lucius						FALSE		0
141	50	6	13	13	27	25	7	1	Sain						TRUE		0
111	50	8	9	2	7	31	4	0	Nino						FALSE		0
110	52	7	5	4	17	15	10	0	Lucius						FALSE		0
119	60	24	17	13	4	1	0	0	Florina						FALSE		0
109	45	6	13	10	1	29	5	0	Nino						FALSE		0
115	50	16	10	4	0	31	4	1	Sain						TRUE		0
108	60	4	19	5	2	16	2	0	Lowen						FALSE		0
128	54	23	19	7	7	6	12	1	Sain						TRUE		0
106	53	8	22	4	0	7	12	0	Nino						FALSE		0
124	54	9	11	9	6	15	12	1	Sain						TRUE		0
88	45	0	3	8	0	16	12	0	Nino						FALSE		0
91	52	15	6	6	8	2	2	0	Florina	5_5				1	FALSE		0
114	45	22	8	18	6	5	10	1	Sain	1_5				2	TRUE		0
103	54	8	11	14	0	4	12	0	Nino	3_5				3	FALSE		0
108	45	12	11	16	12	10	2	0	Lowen	2_5				4	FALSE		0
102	53	18	9	5	3	12	2	0	Lucius	4_5				5	FALSE		0
111	41	24	6	6	0	30	4	0	Lucius						FALSE		0
137	60	40	15	11	2	2	7	1	Nino						TRUE		0
104	52	5	1	6	0	35	5	0	Florina						FALSE		0
132	61	33	9	16	4	4	5	0	Sain						FALSE		0
118	48	23	11	14	0	15	7	0	Lowen						FALSE		0
